user_id,timestamp,login_status,failed_attempts
USR654,2025-03-02 09:00:00,success,0
USR769,2025-03-06 07:00:00,success,0
USR437,2025-03-29 14:00:00,success,0
USR462,2025-03-21 21:00:00,success,0
USR860,2025-03-28 09:00:00,success,0
USR194,2025-03-27 11:00:00,success,0
USR697,2025-03-12 00:00:00,failed,2
USR819,2025-03-23 14:00:00,failed,1
USR923,2025-03-29 08:00:00,success,0
USR782,2025-03-13 03:00:00,success,0
USR353,2025-03-13 18:00:00,success,0
USR956,2025-03-27 06:00:00,failed,2
USR649,2025-03-02 07:00:00,success,0
USR567,2025-03-19 12:00:00,success,0
USR892,2025-03-28 02:00:00,success,0
USR447,2025-03-20 20:00:00,success,0
USR240,2025-03-08 03:00:00,success,0
USR374,2025-03-03 09:00:00,success,0
USR567,2025-03-09 06:00:00,success,0
USR455,2025-03-02 20:00:00,success,0
USR428,2025-03-23 05:00:00,failed,1
USR966,2025-03-20 18:00:00,success,0
USR781,2025-03-01 19:00:00,success,0
USR885,2025-03-19 08:00:00,success,0
USR650,2025-03-28 14:00:00,failed,2
USR583,2025-03-05 13:00:00,success,0
USR594,2025-03-28 13:00:00,success,0
USR266,2025-03-16 12:00:00,success,0
USR185,2025-03-15 19:00:00,failed,1
USR884,2025-03-10 11:00:00,success,0
USR876,2025-03-30 00:00:00,success,0
USR424,2025-03-17 04:00:00,success,0
USR200,2025-03-11 10:00:00,failed,2
USR625,2025-03-11 12:00:00,success,0
USR316,2025-03-26 13:00:00,success,0
USR172,2025-03-20 11:00:00,failed,1
USR246,2025-03-03 19:00:00,success,0
USR525,2025-03-01 06:00:00,success,0
USR380,2025-03-02 06:00:00,success,0
USR871,2025-03-26 21:00:00,success,0
USR975,2025-03-12 20:00:00,success,0
USR660,2025-03-27 11:00:00,success,0
USR579,2025-03-29 13:00:00,failed,1
USR628,2025-03-11 18:00:00,failed,1
USR206,2025-03-04 04:00:00,failed,2
USR485,2025-03-22 05:00:00,success,0
USR634,2025-03-23 12:00:00,success,0
USR134,2025-03-17 23:00:00,success,0
USR370,2025-03-20 18:00:00,success,0
USR455,2025-03-24 01:00:00,success,0
USR806,2025-03-24 21:00:00,failed,1
USR503,2025-03-02 13:00:00,success,0
USR846,2025-03-17 17:00:00,failed,2
USR682,2025-03-09 05:00:00,success,0
USR262,2025-03-28 10:00:00,success,0
USR739,2025-03-03 12:00:00,success,0
USR978,2025-03-10 21:00:00,failed,1
USR626,2025-03-19 05:00:00,success,0
USR719,2025-03-15 14:00:00,success,0
USR459,2025-03-16 20:00:00,success,0
USR883,2025-03-04 03:00:00,success,0
USR707,2025-03-26 08:00:00,success,0
USR810,2025-03-02 14:00:00,success,0
USR100,2025-03-11 03:00:00,success,0
USR356,2025-03-29 18:00:00,success,0
USR155,2025-03-29 13:00:00,success,0
USR851,2025-03-18 08:00:00,failed,1
USR558,2025-03-23 12:00:00,success,0
USR862,2025-03-04 13:00:00,success,0
USR198,2025-03-23 12:00:00,success,0
USR567,2025-03-23 11:00:00,failed,1
USR675,2025-03-02 06:00:00,success,0
USR547,2025-03-16 19:00:00,failed,2
USR437,2025-03-04 23:00:00,success,0
USR910,2025-03-27 23:00:00,success,0
USR842,2025-03-08 06:00:00,success,0
USR277,2025-03-17 11:00:00,success,0
USR723,2025-03-16 10:00:00,failed,2
USR884,2025-03-06 10:00:00,success,0
USR596,2025-03-15 10:00:00,success,0
USR439,2025-03-07 03:00:00,failed,1
USR276,2025-03-08 13:00:00,success,0
USR558,2025-03-23 04:00:00,success,0
USR882,2025-03-17 08:00:00,success,0
USR126,2025-03-04 11:00:00,success,0
